Year,Business Name,Owner Name,Business Address,Business Phone,Account Status,Business Start Date,Business Type,Category Code,Category Name,Class Code,Class Name,Business Description
2012,1ST UNITED BANK,1ST UNITED BANK,"633 S FEDERAL HWY FORT LAUDERDALE, FL 33301 USA",954-524-2265,Active,6/2/92,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,1ST UNITED BANK,JOHN MARINO,"2855 N UNIVERSITY DR 100 POMPANO BEACH, FL 33065 USA",,Active,8/23/07,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,5/3 BANK,5/3 BANK,"12336 MIRAMAR PARKWAY MIRAMAR, FL 33025 ",954-378-2786,Active,4/9/12,Corporation,403,BANKS,40,MISCELLANEOUS,BANKS
2012,AMERICAN NATIONAL BANK,AMERICAN NATIONAL BANK,"4301 N FEDERAL HIGHWAY FORT LAUDERDALE, FL 33308 USA",491-7788,Active,10/15/85,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,AMTRUST BANK,"AMTRUST BANK, A DIV OF NYCB","8211 W BROWARD BLVD PLANTATION, FL 33324 ",,Active,10/1/97,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,AMTRUST BANK,"AMTRUST BANK, A DIV OF NYCB","3700 N OCEAN BLVD FT LAUDERDALE, FL 33308 ",,Active,2/13/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,AMTRUST BANK,"AMTRUST BANK, A DIV OF NYCB","15870 PINES BLVD PEMBROKE PINES, FL 33027 ",,Active,11/12/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANESCO,BANESCO USA,"6499 POWERLINE RD #105 FORT LAUDERDALE, FL 33309 ",954-971-9890,Active,8/16/12,Corporation,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANESCO USA,M. MERCEDES ESCOTET,"316 INDIAN TRACE ROAD WESTON, FL 33134 USA",954-306-7610,Active,5/11/12,Corporation,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK BUILDERS INTERNATIONAL INC,SCOTT T RIZNICK,"1270 SW 26 AVE FORT LAUDERDALE, FL 33312 USA",954-584-0363,Active,12/1/05,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,NW OP ADM WA1-501-10-10,"9140 WILES RD POMPANO BEACH, FL 33065 USA",954-344-1720,Active,10/6/89,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,NW OP ADM WA1-501-10-10,"10050 PINES BLVD HOLLYWOOD, FL 33024 USA",954-435-4114,Active,9/8/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"5900 ROCK ISLAND RD FORT LAUDERDALE, FL 33319 USA",954-973-8607,Active,9/8/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,WA1-501-10-10 BANK OF AMERICA NA,"8190 W SUNRISE BLVD FORT LAUDERDALE, FL 33323 USA",954-916-8996,Active,10/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,WA1-501-10-10 BANK OF AMERICA NA,"1381 WESTON RD FORT LAUDERDALE, FL 33326 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,NW OP ADM WA1-501-10-10,"7950 MIRAMAR PKWY HOLLYWOOD, FL 33023 USA",954-981-8298,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,WA1-501-10-10 BANK OF AMERICA NA,"3900 S OCEAN DR HOLLYWOOD, FL 33019 USA",954-455-3597,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,NW OP ADM WA1-501-10-10,"901 SE 17 ST CSWY FORT LAUDERDALE, FL 33316 USA",954-527-8507,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,NW OP ADM WA1-501-10-10,"4513 WESTON RD FORT LAUDERDALE, FL 33331 USA",813-224-3618,Active,11/12/04,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,BANK OF AMERICA NW OP ADM WA1 501 10 10,"15999 SW 29 ST HOLLYWOOD, FL 33027 USA",,Active,11/18/03,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA,BANK OF AMERICA,"296 INDIAN TRACE FORT LAUDERDALE, FL 33326 USA",407-658-5422,Active,6/4/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA INVESTMENT SERVICES INC,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"7001 W BROWARD BLVD FORT LAUDERDALE, FL 33317 USA",954-797-1421,Active,3/1/03,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA N A,KEN LEWIS,"12300 MIRAMAR PKWY HOLLYWOOD, FL 33025 USA",,Active,3/24/09,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,BANK OF AMERICA NA #7590,"9990 W OAKLAND PK BLVD FORT LAUDERDALE, FL 33321 USA",954-748-8105,Active,5/15/82,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"3580 S UNIVERSITY DR FORT LAUDERDALE, FL 33328 USA",954-766-7203,Active,6/1/87,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"1701 W HILLSBORO BLVD DEERFIELD BEACH, FL 33441 USA",954-421-8006,Active,12/29/86,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,NW OP ADM WA1-501-10-102-08,"3833 W COMMERCIAL BLVD FORT LAUDERDALE, FL 33309 USA",954-497-3700,Active,9/18/89,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"3661 W OAKLAND PK BLVD FORT LAUDERDALE, FL 33311 USA",954-486-3666,Active,1/9/89,,403,BANKS,40,MISCELLANEOUS,BANKS
