Receipt #,Account #,Physical Business Location,Business Name,Business Address,Mailing Address,Category Code,Category Name,Number of Units,Account Status,Balance Status,Exemption Description,Business Phone,Business Email,Custom Flags,Business Start Date,Year,Class Code,Class Name
7471197,7189819,30 - UNIN DADE COUNTY,# 1 APPLIANCE REPAIR,OPERATING IN DADE COUNTY   ,"18314 SW 144 PL MIAMI, FL 33177 ",SER-SNR,SERVICE BUSINESS,1,Active,Unpaid,-- None --,786-970-5054,,"Home Business, Mobile Business",10/1/15,2017,213,Service business/multiple service business or Passenger transportation services
6666052,6398077,04 - HIALEAH,# 1 RX LIBERTY PHARMACY DISCOUNT CORP,"972 E 25 ST HIALEAH, FL 33013 ","972 E 25 ST HIALEAH, FL 33013 ",PHA-RPH,PHARMACY,3,Active,Unpaid,-- None --,305-691-6686,,-- None --,3/1/09,2017,214,Retail sales
6813605,6542998,30 - UNIN DADE COUNTY,# A LOCKSMITH,"DOING BUS IN DADE CO MIAMI, FL 33000 ","1835 E HALLANDALE BEACH BLVD  402 HALLANDALE BEACH, FL 33009 ",LOC,LOCKSMITH SERVICE,1,Active,Unpaid,-- None --,954-245-8283,,"Enforcement, Mobile Business",12/1/09,2017,213,Service business/multiple service business or Passenger transportation services
7454584,7175143,04 - HIALEAH,#1 CACHE RESTAURANT & CAFETERIA INC,"1500 PALM AVE MIAMI, FL 33010 ","1500 PALM AVE MIAMI, FL 33010 ",EAT,EATING ESTABLISHMENT,60,Active,Paid In Full,-- None --,786-452-5427,,-- None --,9/12/14,2017,195,Eating establishments or Catering businesses
7062714,6789128,30 - UNIN DADE COUNTY,#1 FURNITURE OUTLET LLC,"19932 NW 79 ST MIAMI, FL 33015 ","19932 NW 79 ST MIAMI, FL 33015 ",DLR-SAL,TANGIBLE PERSONAL PROP DLR,1,Active,Paid In Full,-- None --,305-741-8233,,-- None --,3/1/11,2017,220,Dealer in tangible personal property
6294375,6033633,01 - MIAMI,#1 MEDICAL SUPPLIES INC,"1090 SW 27 AVE MIAMI, FL 33135 ","1090 SW 27 AVE MIAMI, FL 33135 ",SER-REN,SERVICE BUSINESS,5,Active,Paid In Full,-- None --,305-643-5253,,-- None --,5/1/07,2017,213,Service business/multiple service business or Passenger transportation services
5627014,5388582,01 - MIAMI,#1 MEDICAL SUPPLIES INC,"1090 SW 27 AVE MIAMI, FL 33135 ","1090 SW 27 AVE MIAMI, FL 33135 ",DLR-SHO,TANGIBLE PERSONAL PROP DLR,5,Active,Paid In Full,-- None --,305-643-5253,,-- None --,8/1/04,2017,220,Dealer in tangible personal property
7461090,7180697,07 - NORTH MIAMI BEACH,#1 VAN LINES INC,"1835 NE MIAMI GARDENS DR #276 NORTH MIAMI BEACH, FL 33179 ","1835 NE MIAMI GARDENS DR #276 NORTH MIAMI BEACH, FL 33179 ",MOV-MNS,MOVING SERVICE (LOCAL),5,Active,Unpaid,-- None --,866-841-5159,,-- None --,1/26/15,2017,213,Service business/multiple service business or Passenger transportation services
6925334,6654264,30 - UNIN DADE COUNTY,$ 1 STOP 4442,"12000 SW 127 AVE MIAMI, FL 33186 ","500 VOLVO PARKWAY CHESAPEAKE, VA 23320 ",RET-STR,RETAIL SALES,1,Active,Paid In Full,-- None --,757-321-5000,,-- None --,7/1/10,2017,214,Retail sales
286021,286021,06 - NORTH MIAMI,$1.50 CAR WASH,"11975 NW 7 AVE NORTH MIAMI, FL 33168 ","19950 W. COUNTRY CLUB DR 904 AVENTURA, FL 33180 ",SAM,SERVICE / AMUSEMENT MACHINE,4,Active,Unpaid,-- None --,347-993-1023,,-- None --,8/24/88,2017,221,"Vending, service & amusement machines"
