Receipt #,Physical Business Location,Account #,Owner Address Name,Business Name,Business Address,Category Code,Category Name,Mailing Address Name,Mailing Address Line 1,Mailing Address Line 2,Mailing Address City,Mailing Address State,Mailing Address ZIP,Number of Units,Account Status,Balance Status,Date Paid In Full,Exemption Code,Exemption Description,Business Phone,RE Account Number,Tangible Account Number,Custom Flags,Business Start Date,Year,Class Code,Class Name
7479495,30 - UNIN DADE COUNTY,7197154,""JESUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN WILLIAMS""JESUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN WILLIAMS""ESUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN WIL""SUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN""US" PROFOUND CHILDREN'S MINISTRY INC. C/O DAP""S" PROFOUND CHILDREN'S MINISTRY INC. C/O D""" PROFOUND CHILDREN'S MINISTRY INC. C/O "" PROFOUND CHILDREN'S MINISTRY INC. C/O ",""JESUS" PROFOUND CHILDREN'S MINISTRY INC.""JESUS" PROFOUND CHILDREN'S MINISTRY INC.""ESUS" PROFOUND CHILDREN'S MINISTRY""SUS" PROFOUND CHILDREN'S MINI""US" PROFOUND CHILDREN'S M""S" PROFOUND CHILDREN'S""" PROFOUND CHILDREN'"" PROFOUND CHILDREN'","13451 SW 263 TERR HOMESTEAD, FL 33032 ",CHI,CHILD DAY CARE FACILITY,""JESUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN WILLIAMS""JESUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN WILLIAMS""ESUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN WIL""SUS" PROFOUND CHILDREN'S MINISTRY INC. C/O DAPHEN""US" PROFOUND CHILDREN'S MINISTRY INC. C/O DAP""S" PROFOUND CHILDREN'S MINISTRY INC. C/O D""" PROFOUND CHILDREN'S MINISTRY INC. C/O "" PROFOUND CHILDREN'S MINISTRY INC. C/O ",13451 SW 263 TERR,,HOMESTEAD,FL,33032,1,Closed,Unpaid,none,-- None --,-- None --,none,none,none,Home Business,2/5/16,2017,213,Service business/multiple service business or Passenger transportation services
7471197,30 - UNIN DADE COUNTY,7189819,ROBERTO GONZALEZ,# 1 APPLIANCE REPAIR,OPERATING IN DADE COUNTY   ,SER-SNR,SERVICE BUSINESS,ROBERTO GONZALEZ,18314 SW 144 PL,,MIAMI,FL,33177,1,Active,Unpaid,,-- None --,-- None --,786-970-5054,,,"Home Business, Mobile Business",10/1/15,2017,213,Service business/multiple service business or Passenger transportation services
6666052,04 - HIALEAH,6398077,#1 RX LIBERTY PHARMACY DISC CORP,# 1 RX LIBERTY PHARMACY DISCOUNT CORP,"972 E 25 ST HIALEAH, FL 33013 ",PHA-RPH,PHARMACY,#1 RX LIBERTY PHARMACY DISC CORP PEDRO PABLO ROSADO  PRES,972 E 25 ST,,HIALEAH,FL,33013,3,Active,Unpaid,,-- None --,-- None --,305-691-6686,04-3108-002-2300,,-- None --,3/1/09,2017,214,Retail sales
6813605,30 - UNIN DADE COUNTY,6542998,SHAY BALAS,# A LOCKSMITH,"DOING BUS IN DADE CO MIAMI, FL 33000 ",LOC,LOCKSMITH SERVICE,SHAY BALAS,1835 E HALLANDALE BEACH BLVD  402,,HALLANDALE BEACH,FL,33009,1,Active,Unpaid,,-- None --,-- None --,954-245-8283,,,"Enforcement, Mobile Business",12/1/09,2017,213,Service business/multiple service business or Passenger transportation services
7454584,04 - HIALEAH,7175143,#1 CACHE RESTAURANT & CAFETERIA INC,#1 CACHE RESTAURANT & CAFETERIA INC,"1500 PALM AVE MIAMI, FL 33010 ",EAT,EATING ESTABLISHMENT,#1 CACHE RESTAURANT & CAFETERIA INC,1500 PALM AVE,,MIAMI,FL,33010,60,Active,Paid In Full,10/15/16,-- None --,-- None --,786-452-5427,,,-- None --,9/12/14,2017,195,Eating establishments or Catering businesses
7450916,01 - MIAMI,7171985,#1 CON TODO AMOR INC C/O PERDOMO ESTELA,#1 CON TODO AMOR INC,"1712 W FLAGLER ST MIAMI, FL 33135 ",RET-STR,RETAIL SALES,#1 CON TODO AMOR INC C/O PERDOMO ESTELA,1171 NW 123 CT,,MIAMI,FL,33182,1,Closed,Unpaid,,-- None --,-- None --,786-487-7177,,,-- None --,6/16/14,2017,214,Retail sales
4732229,01 - MIAMI,4532983,#1 DOLLAR STORE INC C/O DANIEL CIRES,#1 DOLLAR STORE INC,"3661 NW 19 ST MIAMI, FL 33125 US",RET-STR,RETAIL SALES,#1 DOLLAR STORE INC C/O DANIEL CIRES,3661 NW 19 ST,,MIAMI,FL,33125,2,Active,Paid In Full,10/31/16,-- None --,-- None --,305-216-6482,,,-- None --,6/1/01,2017,214,Retail sales
7062714,30 - UNIN DADE COUNTY,6789128,#1 FURNITURE OUTLET LLC,#1 FURNITURE OUTLET LLC,"19932 NW 79 ST MIAMI, FL 33015 ",DLR-SAL,TANGIBLE PERSONAL PROP DLR,#1 FURNITURE OUTLET LLC MARILYN HERNANDEZ MGR,19932 NW 79 ST,,MIAMI,FL,33015,1,Active,Paid In Full,10/2/16,-- None --,-- None --,305-741-8233,30-2003-045-1540,,-- None --,3/1/11,2017,220,Dealer in tangible personal property
6294375,01 - MIAMI,6033633,#1 MEDICAL SUPPLIES INC,#1 MEDICAL SUPPLIES INC,"1090 SW 27 AVE MIAMI, FL 33135 ",SER-REN,SERVICE BUSINESS,#1 MEDICAL SUPPLIES INC GILBERTO IVIRICO PRES,1090 SW 27 AVE,,MIAMI,FL,33135,5,Active,Paid In Full,7/18/16,-- None --,-- None --,305-643-5253,01-4109-002-0380,,-- None --,5/1/07,2017,213,Service business/multiple service business or Passenger transportation services
5627014,01 - MIAMI,5388582,#1 MEDICAL SUPPLIES INC,#1 MEDICAL SUPPLIES INC,"1090 SW 27 AVE MIAMI, FL 33135 ",DLR-SHO,TANGIBLE PERSONAL PROP DLR,#1 MEDICAL SUPPLIES INC GILBERTO IVIRICO  PRES,1090 SW 27 AVE,,MIAMI,FL,33135,5,Active,Paid In Full,7/18/16,-- None --,-- None --,305-643-5253,01-4109-002-0380,40-195004,-- None --,8/1/04,2017,220,Dealer in tangible personal property
7461090,07 - NORTH MIAMI BEACH,7180697,#1 VAN LINES INC DANEISHA AGUSTINA PRES,#1 VAN LINES INC,"1835 NE MIAMI GARDENS DR #276 NORTH MIAMI BEACH, FL 33179 ",MOV-MNS,MOVING SERVICE (LOCAL),#1 VAN LINES INC DANEISHA AGUSTINA PRES,1835 NE MIAMI GARDENS DR #276,,NORTH MIAMI BEACH,FL,33179,5,Active,Unpaid,,-- None --,-- None --,866-841-5159,07-2204-014-2510,,-- None --,1/26/15,2017,213,Service business/multiple service business or Passenger transportation services
6925334,30 - UNIN DADE COUNTY,6654264,DOLLAR TREE STORES INC,$ 1 STOP 4442,"12000 SW 127 AVE MIAMI, FL 33186 ",RET-STR,RETAIL SALES,DOLLAR TREE STORES INC AMY SMALLS,500 VOLVO PARKWAY,,CHESAPEAKE,VA,23320,1,Active,Paid In Full,7/29/16,-- None --,-- None --,757-321-5000,,,-- None --,7/1/10,2017,214,Retail sales
